"PACKING_OUT_TIME","HANDLING_TYPE","AREA_PACKED","CONTAINER_CLASS","PACK_STATION","AREA","PACK_USER","PROD_CODE","QTY_SINGLES","SHIPPING_LPN","ORDER_NO","LENGTH","WIDTH","HEIGHT","WEIGHT","CONVEYABLE_IND","COLLATABILITY_IND","MANUAL_BAG_TYPE"
"2018-11-25 19:55:30","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11405237",1,"3051602326","00000000000057404749",320,195,80,303,"Y","N",
"2018-11-25 19:31:48","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 25",1,"792363","11430374",1,"3051601264","00000000000057399287",240,210,15,80,"Y","N",
"2018-11-25 19:08:17","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11482410",1,"3051596866","00000000000057327106",360,230,20,112,"Y","N",
"2018-11-25 19:33:34","MediumPickingCarton","Medium Carton Line","MediumPickingCarton","D2C ACL M11",2,"ACL M","11441704",1,"3051601270","00000000000057339428",378,284,60,360,"Y","N",
"2018-11-25 19:42:36","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 59",1,"797823","11421542",1,"3051602631","00000000000057411377",388,190,10,175,,,
"2018-11-25 19:50:57","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-03",2,"797765","11405228",1,"3051603820","00000000000057416910",475,332,140,950,"Y","N",
"2018-11-25 19:34:46","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11460638",1,"3051601311","00000000000057405330",378,284,100,360,"Y","N",
"2018-11-25 19:51:06","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11370228",1,"3051602294","00000000000057413008",260,240,50,523,,,
"2018-11-25 19:05:33","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 8",1,"797088","11430652",1,"3051595726","00000000000057282176",290,170,20,169,,,
"2018-11-25 19:42:36","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 59",1,"797823","11421537",1,"3051602631","00000000000057411377",350,210,10,153,"Y","N",
"2018-11-25 19:22:58","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-05",2,"797389","11405239",1,"3051600160","00000000000057407285",475,332,140,1240,"Y","N",
"2018-11-25 19:58:06","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 17",1,"797157","11482408",1,"3051604767","00000000000057418488",280,170,10,42,"Y","N",
"2018-11-25 19:56:10","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11423215",1,"3051604164","00000000000057403808",400,330,20,161,"Y","N",
"2018-11-25 19:36:27","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11413223",1,"3051599443","00000000000057399951",290,280,34,239,,,
"2018-11-25 19:15:04","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 37",1,"798212","11482406",1,"3051599135","00000000000057402534",240,180,25,113,"Y","N",
"2018-11-25 19:33:29","MediumPickingCarton","Medium Carton Line","MediumPickingCarton","D2C ACL M1",1,"ACL M","11630908",1,"3051598459","00000000000057404050",300,170,50,116,"Y","N",
"2018-11-25 19:08:51","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-5",2,"797268","11793232",3,"3051595736","00000000000057309151",116,116,117,54,,,
"2018-11-25 19:06:39","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11757033",2,"3051597460","00000000000057404989",310,270,15,80,"Y","N",
"2018-11-25 19:30:39","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 12",1,"797427","11723805",1,"3051594676","00000000000057334053",139,140,140,110,"Y",,
"2018-11-25 19:57:07","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 3",1,"797128","11693721",1,"3051598482","00000000000057269951",310,230,40,250,"Y","N",
"2018-11-25 19:29:11","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11640207",1,"3051598806","00000000000057403287",340,250,60,415,"Y","N",
"2018-11-25 19:30:42","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11752204",1,"3051597845","00000000000057416322",320,175,40,108,,,
"2018-11-25 19:09:15","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11630995",1,"3051597300","00000000000057405339",370,165,50,190,"Y","N",
"2018-11-25 19:31:53","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-03",2,"797765","11560218",1,"3051601346","00000000000057414199",475,332,80,520,"Y","N",
"2018-11-25 19:35:26","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11724425",1,"3051600692","00000000000057418085",260,160,10,32,"Y","N",
"2018-11-25 19:34:28","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11555124",1,"3051600616","00000000000057398030",378,284,60,520,,,
"2018-11-25 19:36:27","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11512713",1,"3051599443","00000000000057399951",280,160,40,145,,,
"2018-11-25 19:21:27","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11512713",1,"3051599045","00000000000057400809",280,160,40,145,,,
"2018-11-25 19:28:40","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-7",2,"797544","11724424",1,"3051596305","00000000000057395007",260,160,10,32,"Y","N",
"2018-11-25 19:06:19","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 10",1,"798254","11794807",3,"3051597985","00000000000057403177",193,120,20,52,"Y","N",
"2018-11-25 19:44:19","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11540244",1,"3051600392","00000000000057369322",378,284,100,510,,,
"2018-11-25 19:07:24","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 8",1,"797088","11726303",1,"3051595729","00000000000057265701",260,130,15,61,"Y","N",
"2018-11-25 19:24:54","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11990134",1,"3051599651","00000000000057411707",320,180,50,196,"Y","N",
"2018-11-25 19:54:12","PlasticProtectionBag","SAP MP2","SAP MP2","SAP Station 05",2,"792423","11970101",1,"3051598661","00000000000057404018",120,100,10,12,"Y","N",
"2018-11-25 19:45:28","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11846125",2,"3051599996","00000000000057398862",400,160,20,107,"Y","N",
"2018-11-25 19:23:41","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11720420",1,"3051599376","00000000000057398588",310,160,10,39,"Y","N",
"2018-11-25 19:11:04","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11800822",2,"3051597543","00000000000057411798",300,130,15,45,"Y","N",
"2018-11-25 19:33:14","Carton","SAP MP2","SAP MP2","SAP Station 26",2,"797166","11721103",1,"3051597240","00000000000057413665",300,170,10,60,,,
"2018-11-25 19:49:59","Carton","SAP MP2","SAP MP2","SAP Station 26",2,"797166","11723107",1,"3051600041","00000000000057413460",340,200,70,115,,,
"2018-11-25 19:53:29","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 64",1,"797037","11721110",1,"3051604081","00000000000057417967",290,160,20,64,,,
"2018-11-25 19:51:58","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 01",1,"797952","11670407",1,"3051603996","00000000000057398021",230,180,22,132,"Y","N",
"2018-11-25 19:51:41","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11935308",1,"3051594981","00000000000057275410",240,132,30,151,"Y","N",
"2018-11-25 19:04:49","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11790946",1,"3051597229","00000000000057405297",190,120,40,100,"Y","N",
"2018-11-25 19:24:54","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11990525",1,"3051599651","00000000000057411707",370,230,12,72,"Y","N",
"2018-11-25 19:34:45","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 58",1,"798333","11720205",1,"3051601629","00000000000057412677",370,130,10,63,,,
"2018-11-25 19:18:34","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 8",1,"797088","11720205",1,"3051596512","00000000000057391955",370,130,10,63,,,
"2018-11-25 19:42:47","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","12100701",1,"3051600565","00000000000057368872",290,250,70,636,"Y","N",
"2018-11-25 19:23:03","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11935305",1,"3051591070","00000000000057336212",240,132,30,151,"Y","N",
"2018-11-25 19:35:26","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11723828",2,"3051600692","00000000000057418085",290,270,14,30,"Y","N",
"2018-11-25 19:11:04","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11800802",1,"3051597543","00000000000057411798",340,180,20,100,"Y","N",
"2018-11-25 19:09:44","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 58",1,"798333","11884807",1,"3051598646","00000000000057404776",280,170,15,65,"Y","N",
"2018-11-25 19:57:32","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11884807",1,"3051604370","00000000000057405203",280,170,15,65,"Y","N",
"2018-11-25 19:33:22","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11848137",2,"3051599247","00000000000057399512",420,280,10,53,"Y","N",
"2018-11-25 19:30:39","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 12",1,"797427","11723905",1,"3051594676","00000000000057334053",330,190,20,33,"Y",,
"2018-11-25 19:20:10","Carton","Pack Bench","Pack Bench","D2C pack station 04",1,"797640","11726306",2,"3051599472","00000000000057274371",270,100,10,35,"Y","N",
"2018-11-25 19:47:21","PlasticProtectionBag","SAP MP2","SAP MP2","SAP Station 04",2,"797826","11759244",1,"3051597258","00000000000057413340",290,260,40,85,"Y","N",
"2018-11-25 19:22:02","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 3",1,"797128","11794704",1,"3051596869","00000000000057292758",190,115,45,141,"Y","N",
"2018-11-25 19:11:58","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 7",1,"797938","11670506",1,"3051596578","00000000000057268396",230,180,30,152,"Y","N",
"2018-11-25 19:15:20","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11722219",1,"3051598210","00000000000057403505",300,170,20,45,"Y","N",
"2018-11-25 19:48:30","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 20",1,"791264","11935307",1,"3051603509","00000000000057394240",240,132,30,151,"Y","N",
"2018-11-25 19:06:39","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11758608",2,"3051597460","00000000000057404989",300,160,30,105,"Y","N",
"2018-11-25 19:06:48","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 8",1,"797088","11724204",1,"3051595730","00000000000057290760",293,180,20,59,,,
"2018-11-25 19:15:20","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11723117",1,"3051598210","00000000000057403505",370,100,10,60,,,
"2018-11-25 19:44:51","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 01",1,"797952","11670602",1,"3051602928","00000000000057419401",230,180,30,152,"Y","N",
"2018-11-25 19:22:27","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11846017",1,"3051591076","00000000000057368342",380,190,30,103,"Y","N",
"2018-11-25 19:35:26","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11723812",1,"3051600692","00000000000057418085",139,140,140,110,"Y",,
"2018-11-25 19:29:49","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11726309",2,"3051599277","00000000000057397998",270,100,10,35,,,
"2018-11-25 19:46:28","Carton","SAP MP2","SAP MP2","SAP Station 27",2,"798246","11726309",1,"3051598655","00000000000057402567",270,100,10,35,,,
"2018-11-25 19:27:42","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-9",2,"797096","11710608",2,"3051594600","00000000000057389027",260,150,15,49,,,
"2018-11-25 19:11:20","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-4",2,"797722","11951911",1,"3051596704","00000000000057301105",206,162,24,160,"Y",,
"2018-11-25 19:05:00","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11631516",1,"3051596528","00000000000057397694",314,116,48,140,"Y",,
"2018-11-25 19:53:47","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11863803",1,"3051602887","00000000000057416641",330,160,10,94,"Y","N",
"2018-11-25 19:05:13","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-5",2,"797268","11846108",3,"3051595740","00000000000057341814",400,160,20,107,,,
"2018-11-25 19:07:28","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11670607",1,"3051590689","00000000000057290656",230,180,30,152,"Y","N",
"2018-11-25 19:18:34","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 8",1,"797088","11720201",1,"3051596512","00000000000057391955",330,140,20,73,,,
"2018-11-25 19:11:04","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11800202",1,"3051597543","00000000000057411798",385,190,10,99,,,
"2018-11-25 19:13:37","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11846124",1,"3051590960","00000000000057320635",400,160,20,107,"Y","N",
"2018-11-25 19:38:18","PlasticProtectionBag","SAP MP2","SAP MP2","SAP Station 06",2,"792405","11865503",1,"3051598561","00000000000057398621",350,180,25,87,"Y","N",
"2018-11-25 19:36:45","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11862801",1,"3051599633","00000000000057421163",360,170,30,92,,,
"2018-11-25 19:23:41","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11725122",1,"3051599376","00000000000057398588",335,145,10,39,"Y","N",
"2018-11-25 19:37:36","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 25",1,"792363","11794706",1,"3051601944","00000000000057402466",190,115,45,141,"Y","N",
"2018-11-25 19:41:27","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 7",1,"797938","11803209",1,"3051598218","00000000000057337021",380,260,80,128,,,
"2018-11-25 19:21:52","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11880514",1,"3051591077","00000000000057366762",360,190,25,65,,,
"2018-11-25 19:50:08","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11970112",1,"3051602408","00000000000057400831",140,120,30,31,"Y","N",
"2018-11-25 19:23:41","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11863044",2,"3051599376","00000000000057398588",340,270,50,94,"Y","N",
"2018-11-25 19:37:36","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 25",1,"792363","11799606",1,"3051601944","00000000000057402466",195,118,48,129,,,
"2018-11-25 19:06:48","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 8",1,"797088","11721133",1,"3051595730","00000000000057290760",250,200,15,47,"Y","N",
"2018-11-25 19:40:03","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11681896",1,"3051601411","00000000000057347120",175,165,136,133,"Y","N",
"2018-11-25 19:56:14","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11807531",1,"3051602708","00000000000057419241",300,150,10,45,"Y","N",
"2018-11-25 19:24:54","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11990518",1,"3051599651","00000000000057411707",320,160,12,72,"Y","N",
"2018-11-25 19:01:48","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-2",2,"797766","11884407",1,"3051596132","00000000000057321089",310,160,15,88,"Y","N",
"2018-11-25 19:07:16","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11936101",1,"3051596691","00000000000057397707",180,180,24,100,"Y","N",
"2018-11-25 19:57:07","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 3",1,"797128","11958620",1,"3051598482","00000000000057269951",360,230,30,135,"Y","N",
"2018-11-25 19:21:52","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11882642",1,"3051591077","00000000000057366762",320,160,15,82,"Y","N",
"2018-11-25 19:25:21","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11807108",1,"3051591449","00000000000057267466",330,200,20,87,,,
"2018-11-25 19:58:13","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 6",1,"798233","11841625",1,"3051598901","00000000000057339807",370,175,20,98,,,
"2018-11-25 19:23:19","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11939501",1,"3051599017","00000000000057405266",180,140,30,95,"Y","N",
"2018-11-25 19:56:14","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11806545",1,"3051602708","00000000000057419241",340,160,25,96,"Y","N",
"2018-11-25 19:15:35","ConveyableCarton","Pack Bench","Pack Bench","D2C pack station 13",1,"797856","11807124",2,"3051598908","00000000000057274293",290,200,10,50,"Y","N",
"2018-11-25 19:27:17","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 9",1,"797869","11933605",1,"3051596437","00000000000057320896",270,190,20,31,"Y","N",
"2018-11-25 19:24:54","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11996921",1,"3051599651","00000000000057411707",400,200,30,190,"Y","N",
"2018-11-25 19:01:48","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-2",2,"797766","11884423",1,"3051596132","00000000000057321089",280,160,15,72,"Y","N",
"2018-11-25 19:24:54","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11990141",1,"3051599651","00000000000057411707",320,180,50,196,"Y","N",
"2018-11-25 19:36:38","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11934611",1,"3051600377","00000000000057411585",260,210,10,110,"Y","N",
"2018-11-25 19:57:27","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11846024",1,"3051603765","00000000000057399554",380,190,30,103,"Y","N",
"2018-11-25 19:19:15","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11805302",2,"3051596684","00000000000057398127",300,130,30,50,"Y","N",
"2018-11-25 19:52:56","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 58",1,"798333","11842425",2,"3051604064","00000000000057416621",220,180,4,33,"Y",,
"2018-11-25 19:37:27","Carton","SAP MP2","SAP MP2","SAP Station 26",2,"797166","11840216",1,"3051598192","00000000000057404450",360,180,90,120,,,
"2018-11-25 19:10:18","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 12",1,"797427","11885344",1,"3051594137","00000000000057289381",330,170,23,69,"Y","N",
"2018-11-25 19:31:54","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11841216",1,"3051598966","00000000000057418469",350,190,30,91,"Y","N",
"2018-11-25 19:07:28","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11863910",1,"3051590689","00000000000057290656",330,160,10,94,"Y","N",
"2018-11-25 19:39:59","MediumPickingCarton","Medium Carton Line","MediumPickingCarton","D2C ACL M2",1,"ACL M","11845781",1,"3051601519","00000000000057418705",310,110,20,56,"Y","N",
"2018-11-25 19:09:03","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-10",2,"797135","11935902",1,"3051590682","00000000000057306009",220,180,40,187,"Y","N",
"2018-11-25 19:06:45","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11884614",1,"3051597246","00000000000057412096",330,150,25,52,"Y","N",
"2018-11-25 19:45:07","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 15",1,"797745","11843313",1,"3051602967","00000000000057403161",350,190,20,95,,,
"2018-11-25 19:27:17","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 9",1,"797869","11933602",1,"3051596437","00000000000057320896",270,190,20,31,"Y","N",
